site,borough,crashes,observed_rate,expected_rate,base_rate,excess,excess_z,excess_lower_95,latitude,longitude,top_factors
LIBERTY AVENUE @ VANWYCK EXPRESSWAY,QUEENS,98,0.449,0.3867,0.3541,0.0421,0.9386,-0.0458,40.66549,-73.819534,Driver Inattention/Distraction; Traffic Control Disregarded
BROADWAY @ STEINWAY STREET,QUEENS,31,0.6452,0.5225,0.3382,0.1025,1.3542,-0.0459,40.758972,-73.91901,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
20 AVENUE @ WHITESTONE EXPRESSWAY,UNKNOWN,67,0.4627,0.3819,0.3554,0.0606,1.1146,-0.046,,,Failure To Yield Right-Of-Way; Passing Or Lane Usage Improper
BROADWAY @ WEST 157 STREET,MANHATTAN,30,0.5667,0.4443,0.3547,0.1022,1.3518,-0.046,40.83406,-73.944885,Driver Inattention/Distraction; Following Too Closely
HORACE HARDING EXPRESSWAY @ KISSENA BOULEVARD,QUEENS,36,0.5556,0.4321,0.3628,0.1033,1.3545,-0.0462,40.737915,-73.81485,Following Too Closely; Failure To Yield Right-Of-Way
ESSEX STREET @ RIVINGTON STREET,MANHATTAN,43,0.5814,0.4831,0.3577,0.0781,1.2304,-0.0463,40.71983,-73.98755,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
31 STREET @ ASTORIA BOULEVARD,QUEENS,94,0.4468,0.387,0.3626,0.0397,0.9034,-0.0464,40.77006,-73.91808,Driver Inattention/Distraction; Following Too Closely
AVENUE V @ OCEAN PARKWAY,BROOKLYN,28,0.7857,0.6548,0.3763,0.1108,1.3802,-0.0465,40.595707,-73.965065,Driver Inattention/Distraction; Unsafe Speed
BELL BOULEVARD @ NORTHERN BOULEVARD,QUEENS,31,0.7097,0.5922,0.3612,0.0973,1.3235,-0.0468,40.760284,-73.769356,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
EAST 169 STREET @ GRAND CONCOURSE,BRONX,30,0.6667,0.5453,0.3581,0.1012,1.3355,-0.0473,40.83639,-73.91588,Driver Inattention/Distraction; Turning Improperly
FRANCIS LEWIS BOULEVARD @ SUNRISE HIGHWAY,QUEENS,42,0.5952,0.4847,0.36,0.0904,1.2861,-0.0474,40.66561,-73.73568,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
FLATBUSH AVENUE @ GRAND ARMY PLAZA,BROOKLYN,150,0.4067,0.3657,0.3599,0.0208,0.5976,-0.0475,40.674854,-73.97078,Driver Inattention/Distraction; Following Too Closely
CENTRE STREET @ CHAMBERS STREET,MANHATTAN,26,0.5385,0.4089,0.3468,0.1094,1.3555,-0.0488,40.713135,-74.00407,Driver Inattention/Distraction; Following Too Closely
EAST 158 STREET @ GRAND CONCOURSE,BRONX,35,0.6571,0.5413,0.3397,0.0957,1.2909,-0.0496,40.825413,-73.923485,Driver Inattention/Distraction; Unsafe Speed
COHANCY STREET @ NORTH CONDUIT AVENUE,QUEENS,60,0.45,0.3666,0.3485,0.0632,1.0947,-0.05,40.667114,-73.834656,Driver Inattention/Distraction; Following Too Closely
1 AVENUE @ EAST 125 STREET,MANHATTAN,60,0.5,0.4237,0.3508,0.0561,1.0352,-0.0501,40.801754,-73.93121,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
LIBERTY AVENUE @ MERRICK BOULEVARD,QUEENS,30,0.5667,0.4347,0.3431,0.1118,1.3524,-0.0503,40.702564,-73.790565,Driver Inattention/Distraction; Unsafe Speed
BROADWAY @ WEST 230 STREET,BRONX,72,0.4444,0.373,0.3473,0.0513,0.9872,-0.0506,40.877106,-73.90616,Driver Inattention/Distraction; Traffic Control Disregarded
AVENUE K @ KINGS HIGHWAY,BROOKLYN,34,0.5294,0.4027,0.3625,0.1065,1.3275,-0.0508,40.625683,-73.93344,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
CASTLE HILL AVENUE @ CROSS BRONX EXPRESSWAY,BRONX,61,0.4918,0.4123,0.3454,0.0593,1.0558,-0.0508,40.83029,-73.850655,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
UNION TURNPIKE @ WOODHAVEN BOULEVARD,QUEENS,29,0.6207,0.4873,0.3647,0.1132,1.3525,-0.0508,40.70559,-73.85824,Driver Inattention/Distraction; Following Too Closely
150 STREET @ NORTH CONDUIT AVENUE,QUEENS,60,0.45,0.3666,0.3458,0.0632,1.0811,-0.0514,40.66684,-73.78941,Driver Inattention/Distraction; Following Too Closely
EAST 181 STREET @ GRAND CONCOURSE,BRONX,30,0.5667,0.4502,0.3551,0.0963,1.2737,-0.0519,40.854588,-73.90187,Driver Inattention/Distraction; Passing Or Lane Usage Improper
BAISLEY BOULEVARD @ GUY R BREWER BOULEVARD,QUEENS,26,0.6923,0.5573,0.3816,0.1148,1.3439,-0.0526,40.678364,-73.77948,Driver Inattention/Distraction; Alcohol Involvement
183 STREET @ JAMAICA AVENUE,QUEENS,28,0.6071,0.4822,0.3549,0.1048,1.3001,-0.0532,40.708927,-73.77733,Driver Inattention/Distraction; Unsafe Speed
EAST 180 STREET @ SOUTHERN BOULEVARD,BRONX,34,0.7059,0.5971,0.3637,0.0886,1.2215,-0.0536,40.845985,-73.884476,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
FLATLANDS AVENUE @ RALPH AVENUE,BROOKLYN,68,0.5588,0.494,0.3636,0.0446,0.8903,-0.0536,40.632065,-73.91861,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
JOHNSON AVENUE @ STEWART AVENUE,BROOKLYN,25,0.6,0.4622,0.3529,0.1177,1.3423,-0.0542,40.708805,-73.92577,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
FULTON STREET @ VANDERBILT AVENUE,BROOKLYN,37,0.7297,0.6379,0.3731,0.0716,1.1156,-0.0542,40.683723,-73.96797,Failure To Yield Right-Of-Way; Driver Inattention/Distraction
EASTCHESTER ROAD @ PELHAM PARKWAY SOUTH,BRONX,27,0.5556,0.4225,0.3491,0.1129,1.3198,-0.0548,,,Driver Inattention/Distraction; Traffic Control Disregarded
FLATLANDS AVENUE @ SCHENCK AVENUE,BROOKLYN,27,0.5926,0.4514,0.3826,0.121,1.3467,-0.0551,40.655563,-73.87974,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
FOSTER AVENUE @ RALPH AVENUE,BROOKLYN,26,0.6538,0.5149,0.3656,0.1188,1.3371,-0.0553,40.64024,-73.919464,Failure To Yield Right-Of-Way; Driver Inattention/Distraction
